Stall_no,Market_Category,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price
37,2,1,0,1,68,0,376,11,2983.0,4713.0,4185.9477
38,24,1,0,0,51,0,397,12,7495.0,10352.0,9271.490256000001
9,447,1,1,0,10,0,250,9,5752.0,7309.0,6785.701362000001
50,23,1,2,2,48,0,144,13,5090.0,20814.0,13028.917824
7,63,1,3,1,35,1,211,4,2430.0,9261.0,906.5539349999999
23,162,0,4,1,49,0,633,6,3959.0,6104.0,5631.247872
33,462,0,5,3,57,0,263,13,2006.0,5257.0,3874.2649920000003
4,23,1,2,1,67,0,104,15,3596.0,5921.0,4820.9436
26,156,1,1,0,53,0,310,6,6965.0,10194.0,8837.724240000001
5,275,1,1,0,84,1,321,8,1103.0,5430.0,530.7618623999999
16,3,1,5,0,6,0,247,17,1573.0,2915.0,2494.560519
1,268,1,3,2,22,0,274,1,3256.0,6033.0,4906.6626
39,188,1,6,0,68,0,253,11,2699.0,4909.0,4020.5682
45,186,1,5,0,38,1,291,17,3657.0,58812.0,4724.948025
46,358,1,7,3,39,0,117,9,7106.0,18697.0,12997.534725
15,24,0,2,0,16,0,129,10,2915.0,4273.0,3726.2173409999996
14,1,0,0,0,74,0,124,11,786.0,3391.5,2582.8605
17,3,1,2,0,57,0,120,10,1806.0,2510.0,2265.566976
14,294,0,6,2,29,0,273,9,1876.0,4092.0,3251.540775
36,456,1,6,0,56,0,318,8,4184.0,6956.0,5854.748256
24,137,1,7,0,7,1,139,7,5821.0,19237.0,1901.32534845
10,250,1,7,0,72,0,124,6,3801.0,6159.0,5055.9201
27,451,0,1,0,16,0,317,16,4757.0,7174.0,6291.410796
40,198,1,3,0,93,0,215,7,3165.0,4178.0,3833.0673920000004
18,451,1,6,0,22,0,297,11,8289.0,11444.0,10148.914125
32,211,1,5,0,84,0,253,17,5176.0,7755.0,6632.585344
9,283,1,2,0,81,0,134,12,5673.0,9323.0,7530.9696
9,236,1,8,0,8,0,130,8,1266.0,8600.0,5066.443305
19,358,1,8,3,80,0,153,6,9673.0,15573.0,12495.939675
36,23,1,6,2,27,0,251,7,1077.0,2207.0,1889.414625
25,63,1,8,1,44,0,147,5,5824.0,8860.0,7444.716912000001
16,3,1,5,0,66,0,266,13,990.0,3013.0,2247.399
35,165,1,5,0,23,0,222,14,4818.0,7435.0,6341.1873
17,101,0,3,0,19,0,163,9,950.0,1580.0,1563.9835859999998
33,101,0,7,0,85,0,104,9,1179.0,1753.0,1548.692992
29,423,0,3,0,12,0,280,8,4843.0,8913.0,7162.78365
5,14,1,1,0,61,0,323,14,5682.0,7856.5,7056.7299
8,451,0,9,0,45,0,262,13,4526.0,6800.0,5894.392896
25,11,1,8,3,85,1,166,7,558.0,1469.0,174.4822464
21,443,1,4,0,40,1,613,13,5658.0,8363.0,1119.13144125
40,24,1,2,0,88,1,170,16,7236.0,9829.0,1288.595616
27,358,1,1,3,71,0,310,8,4293.0,19849.0,12266.7534
23,443,1,6,0,34,1,339,5,5975.0,8226.0,1113.66635625
23,451,0,9,0,31,0,222,13,6057.0,7466.0,6974.809275
1,211,1,3,0,15,0,260,8,497.0,7855.0,4438.896065999999
37,23,0,4,2,31,0,521,7,4306.0,13430.0,9371.721975
24,58,1,0,1,55,0,374,17,3538.0,4756.0,4499.070479999999
36,62,1,3,0,71,1,251,1,1968.0,6703.0,681.159105
4,58,0,2,0,48,0,134,13,3218.0,4443.0,3944.075328
