,Stall_no,Market_Category,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price
0,37,2,1,0,1,68,0,376,11,2983.0,4713.0,4185.9477
1,38,24,1,0,0,51,0,397,12,7495.0,10352.0,9271.490256000001
2,9,447,1,1,0,10,0,250,9,5752.0,7309.0,6785.701362000001
3,50,23,1,2,2,48,0,144,13,5090.0,20814.0,13028.917824
4,7,63,1,3,1,35,1,211,4,2430.0,9261.0,906.5539349999999
5,23,162,0,4,1,49,0,633,6,3959.0,6104.0,5631.247872
6,33,462,0,5,3,57,0,263,13,2006.0,5257.0,3874.2649920000003
7,4,23,1,2,1,67,0,104,15,3596.0,5921.0,4820.9436
8,26,156,1,1,0,53,0,310,6,6965.0,10194.0,8837.724240000001
9,5,275,1,1,0,84,1,321,8,1103.0,5430.0,530.7618623999999
10,16,3,1,5,0,6,0,247,17,1573.0,2915.0,2494.560519
11,1,268,1,3,2,22,0,274,1,3256.0,6033.0,4906.6626
12,39,188,1,6,0,68,0,253,11,2699.0,4909.0,4020.5682
13,45,186,1,5,0,38,1,291,17,3657.0,58812.0,4724.948025
14,46,358,1,7,3,39,0,117,9,7106.0,18697.0,12997.534725
15,15,24,0,2,0,16,0,129,10,2915.0,4273.0,3726.2173409999996
16,14,1,0,0,0,74,0,124,11,786.0,3391.5,2582.8605
17,17,3,1,2,0,57,0,120,10,1806.0,2510.0,2265.566976
18,14,294,0,6,2,29,0,273,9,1876.0,4092.0,3251.540775
19,36,456,1,6,0,56,0,318,8,4184.0,6956.0,5854.748256
20,24,137,1,7,0,7,1,139,7,5821.0,19237.0,1901.32534845
21,10,250,1,7,0,72,0,124,6,3801.0,6159.0,5055.9201
22,27,451,0,1,0,16,0,317,16,4757.0,7174.0,6291.410796
23,40,198,1,3,0,93,0,215,7,3165.0,4178.0,3833.0673920000004
24,18,451,1,6,0,22,0,297,11,8289.0,11444.0,10148.914125
25,32,211,1,5,0,84,0,253,17,5176.0,7755.0,6632.585344
26,9,283,1,2,0,81,0,134,12,5673.0,9323.0,7530.9696
27,9,236,1,8,0,8,0,130,8,1266.0,8600.0,5066.443305
28,19,358,1,8,3,80,0,153,6,9673.0,15573.0,12495.939675
29,36,23,1,6,2,27,0,251,7,1077.0,2207.0,1889.414625
30,25,63,1,8,1,44,0,147,5,5824.0,8860.0,7444.716912000001
31,16,3,1,5,0,66,0,266,13,990.0,3013.0,2247.399
32,35,165,1,5,0,23,0,222,14,4818.0,7435.0,6341.1873
33,17,101,0,3,0,19,0,163,9,950.0,1580.0,1563.9835859999998
34,33,101,0,7,0,85,0,104,9,1179.0,1753.0,1548.692992
35,29,423,0,3,0,12,0,280,8,4843.0,8913.0,7162.78365
36,5,14,1,1,0,61,0,323,14,5682.0,7856.5,7056.7299
37,8,451,0,9,0,45,0,262,13,4526.0,6800.0,5894.392896
38,25,11,1,8,3,85,1,166,7,558.0,1469.0,174.4822464
39,21,443,1,4,0,40,1,613,13,5658.0,8363.0,1119.13144125
40,40,24,1,2,0,88,1,170,16,7236.0,9829.0,1288.595616
41,27,358,1,1,3,71,0,310,8,4293.0,19849.0,12266.7534
42,23,443,1,6,0,34,1,339,5,5975.0,8226.0,1113.66635625
43,23,451,0,9,0,31,0,222,13,6057.0,7466.0,6974.809275
44,1,211,1,3,0,15,0,260,8,497.0,7855.0,4438.896065999999
45,37,23,0,4,2,31,0,521,7,4306.0,13430.0,9371.721975
46,24,58,1,0,1,55,0,374,17,3538.0,4756.0,4499.070479999999
47,36,62,1,3,0,71,1,251,1,1968.0,6703.0,681.159105
48,4,58,0,2,0,48,0,134,13,3218.0,4443.0,3944.075328
49,38,283,0,4,0,82,1,470,9,2371.0,6303.0,711.2434559999999
50,3,0,1,1,0,27,0,289,16,2368.0,4231.0,-3584.79555
51,39,55,1,0,0,31,0,374,16,1842.0,3179.0,2881.2987
52,42,58,1,0,0,57,0,363,11,7425.0,10250.0,9151.274592
53,5,469,1,5,0,46,0,252,13,7137.0,8866.0,8211.011040000001
54,41,350,1,8,3,69,0,158,10,6646.0,9290.0,8052.6303
55,30,469,0,4,0,14,0,477,8,3557.0,4742.0,4629.357018
56,14,1,0,8,0,41,1,136,3,3574.0,4756.0,641.20734
57,46,27,1,2,0,60,0,111,10,6659.0,9900.0,8209.80745
58,28,55,1,3,0,63,0,258,2,4440.0,6490.0,5666.8491
59,43,320,0,1,0,87,0,260,11,8257.0,15501.0,11977.080192
60,23,358,1,9,3,52,0,258,13,2120.0,15949.0,9244.692864
61,20,358,0,9,3,27,0,258,14,2486.0,14677.0,8829.381225
62,31,447,0,1,0,12,0,326,7,1587.0,4420.0,3331.26684
63,14,38,1,2,3,49,0,152,12,4198.0,8015.0,6225.728688
64,2,268,1,6,2,28,0,340,9,945.0,2956.0,5041.931269000001
65,27,441,0,9,0,80,0,241,12,3020.0,4383.0,3858.13385
66,43,451,1,4,0,87,0,458,13,4724.0,6418.0,5949.318144
67,9,165,1,3,0,93,0,258,9,3662.0,5596.0,4820.737152000001
68,49,11,1,8,3,77,0,183,10,567.0,1309.0,1110.7206
69,22,423,1,7,0,6,0,101,6,5509.0,9435.0,7576.722252
70,12,358,0,7,3,21,0,105,8,2945.0,8553.0,5843.9535
71,24,58,1,4,1,39,0,646,10,3251.0,4273.0,4400.7306
72,10,14,1,5,0,80,0,248,15,3278.0,4593.0,4095.1385
73,13,235,0,4,2,64,0,587,10,3166.0,5807.0,5027.2101
74,29,55,1,5,0,95,0,214,12,4100.0,5368.0,4882.347008
75,21,85,1,9,2,89,1,240,15,1805.0,2627.0,363.5858688
76,7,358,1,5,3,31,0,304,14,9483.0,13644.0,11761.213275
77,12,3,1,0,0,32,0,369,14,1247.0,12229.0,2632.572075
78,20,230,1,5,1,76,0,247,14,8227.0,10814.0,9683.0217
79,5,14,1,8,0,51,0,155,7,3339.0,4327.0,3965.139648
80,32,451,0,8,0,73,0,158,2,4795.0,6572.0,5784.2136
81,43,111,1,9,1,86,0,210,14,1129.0,3142.0,2314.671744
82,34,65,1,3,2,68,0,266,7,3271.0,5304.0,4510.935
83,17,23,1,1,1,70,0,295,16,2710.0,5516.0,4370.4342
84,50,103,1,1,1,17,0,328,16,3790.0,6945.0,5699.759967
85,45,0,0,5,0,45,1,230,17,1546.0,3162.0,385.71552
86,12,165,1,1,0,52,0,263,13,3514.0,5021.0,4507.0192799999995
87,19,24,0,8,0,75,0,104,9,8262.0,3010.0,9766.1322
88,5,110,1,3,0,77,0,258,4,710.0,999.0,1101.7116
89,42,83,1,3,1,87,0,259,1,4480.0,9795.0,7290.690176000001
90,40,443,1,3,0,93,0,202,1,5708.0,7571.0,6743.632895999999
91,43,83,1,5,0,89,1,271,12,2284.0,14031.0,1247.5167935999998
92,16,14,0,2,0,7,1,173,7,3295.0,4992.0,647.845209
93,36,447,1,1,0,75,1,267,10,5231.0,8004.0,1023.3313199999999
94,28,58,0,5,0,12,0,212,12,3645.0,4612.0,4345.015455
95,1,93,1,1,2,48,1,273,6,4535.0,7531.0,940.3857648000001
96,18,275,0,3,0,79,0,254,5,4489.0,5929.0,5410.944
97,34,358,1,3,3,43,0,257,9,4505.0,14923.0,9915.869664
98,2,131,0,0,0,74,0,363,12,2085.0,6513.0,4620.4884
99,8,447,1,9,0,46,1,287,10,4568.0,6014.0,832.1335416000001
100,11,452,1,4,0,72,0,468,6,3067.0,4426.0,4174.5825
101,38,186,1,1,0,17,0,274,14,4487.0,8784.0,6918.098120999999
102,7,24,1,4,0,72,0,585,7,6559.0,9493.0,8530.4538
103,28,23,1,8,1,68,0,165,1,3582.0,5581.0,4699.4904
104,16,1,1,7,0,47,0,133,5,5230.0,7878.0,6647.462208
105,39,452,1,4,0,56,0,507,16,4139.0,5638.0,5368.738752
106,30,451,1,0,0,53,0,383,17,4627.0,4431.0,5512.304016
107,30,205,1,6,0,9,0,259,13,2437.0,3224.0,2939.186052
108,22,60,1,2,3,17,0,148,17,247.0,1337.0,941.2558650000001
109,33,358,1,0,3,1,0,379,14,6796.0,12106.0,9842.245676999999
110,36,63,0,3,1,61,0,283,3,2006.0,11705.0,7069.1544
111,36,14,0,7,0,91,0,130,8,3724.0,4529.0,4198.45888
112,23,24,1,1,0,76,0,314,11,7017.0,10671.0,9076.0527
113,8,441,0,5,2,80,0,208,14,3617.0,5321.0,4577.88665
114,47,199,1,5,0,5,0,252,17,4071.0,7530.0,6061.753764
115,30,73,0,5,0,66,0,292,17,2231.0,3321.0,3041.9928
116,26,443,1,8,0,65,0,157,7,4871.0,6745.0,5909.3793
117,2,255,0,9,2,32,0,280,10,124.0,604.0,642.7491
118,24,13,1,8,3,28,0,188,7,365.0,2127.0,1431.282825
119,20,24,1,0,0,49,0,357,17,5764.0,7916.0,7162.4947680000005
120,4,0,1,1,0,43,1,342,9,8648.0,12706.0,1643.7040344
121,33,3,0,3,0,68,0,205,8,1693.0,2929.0,2492.6715
122,7,23,0,7,1,57,0,139,9,2587.0,4660.0,3741.6591359999998
123,23,320,1,5,0,38,0,233,14,2202.0,15805.0,9225.97725
124,46,447,1,6,0,23,0,325,9,2630.0,12191.0,3526.551525
125,31,423,1,7,0,34,0,142,5,3291.0,8577.0,6063.772575
126,24,192,1,1,0,69,1,260,7,2219.0,6851.0,712.528245
127,45,407,0,9,0,86,0,208,11,2557.0,4378.0,3375.7095679999998
128,26,62,1,1,0,70,0,290,7,2895.0,12275.0,7801.5069
129,31,116,1,6,0,71,0,284,11,3354.0,4345.0,4096.3527
130,12,58,0,2,1,28,0,122,15,2745.0,4082.0,3531.76845
131,11,358,0,6,3,47,0,242,6,3781.0,13928.0,9043.558416
132,43,97,1,2,0,76,0,146,16,2552.0,6943.0,4852.089
133,29,14,0,0,0,82,0,398,17,3589.0,5164.0,4713.080064
134,49,24,0,5,0,7,0,235,16,5563.0,7986.0,7019.637965999999
135,4,55,1,9,0,97,0,253,16,838.0,2685.0,1988.270592
136,50,447,0,6,0,94,0,282,9,3220.0,4545.0,4107.970944
137,10,115,0,7,0,78,0,112,5,3170.0,4319.0,3819.7863
138,19,162,0,3,1,65,0,267,1,4224.0,5782.0,5217.795
139,33,14,0,8,0,90,0,130,2,4431.0,7956.5,5398.200192
140,12,37,0,2,2,86,0,131,17,7426.0,10131.0,8795.908352
141,37,3,1,3,0,18,0,225,8,2303.0,3486.0,3121.507818
142,13,24,1,7,0,97,1,113,5,4272.0,5930.0,771.214752
143,3,113,1,4,0,46,0,465,7,1491.0,3778.0,3081.491424
144,19,100,0,2,0,66,0,127,6,1169.0,2825.0,2103.948
145,9,74,1,9,0,16,0,263,10,2847.0,3507.5,3655.024461
146,11,3,0,0,0,19,0,379,13,2837.0,4190.0,3896.680293
147,30,57,1,1,0,2,0,255,16,5110.0,8108.0,6873.882543000001
148,11,24,1,8,0,1,0,169,10,6425.0,8983.0,7879.911929999999
149,21,57,1,0,0,12,0,372,11,2812.0,8121.0,5843.9255490000005
150,21,443,1,9,0,94,0,250,10,5692.0,8117.0,7058.27584
151,12,70,0,9,2,89,0,265,14,1419.0,4248.0,3057.794432
152,23,268,1,7,2,5,0,147,9,786.0,1934.0,1508.069178
153,28,58,1,1,0,86,0,273,15,5497.0,7865.0,6863.738112000001
154,6,451,1,9,0,84,0,217,15,5801.0,7990.0,7020.271104
155,11,9,1,5,3,12,0,297,14,5031.0,13343.0,9495.910314
156,5,444,1,3,1,69,1,216,5,5934.0,8806.0,1127.0674800000002
157,42,24,0,9,0,36,0,288,12,3771.0,4675.0,4504.779825
158,9,452,1,8,0,50,0,127,5,6107.0,8361.0,7317.486432
159,5,3,1,1,0,47,0,330,7,4106.0,5371.0,5039.360352000001
160,16,146,1,3,2,68,0,250,5,4171.5,5979.0,2079.9207
161,20,204,0,5,0,60,0,252,15,4237.0,6587.0,5544.4973
162,25,452,1,4,0,30,0,642,14,6251.0,8802.0,8157.086175
163,42,103,1,5,0,66,0,253,14,10560.0,16382.0,13605.4314
164,34,452,1,9,0,58,1,253,10,3625.0,5198.0,695.8543463999999
165,2,23,0,5,2,12,1,274,12,1168.0,4122.0,438.28166745
166,26,367,1,5,0,78,0,204,15,2592.0,3823.0,3657.2877
167,18,114,1,8,0,21,0,174,10,840.0,3524.0,2352.28455
168,46,73,1,9,0,5,0,221,17,2843.0,4289.0,3792.6806939999997
169,7,24,0,1,0,99,0,257,7,4573.0,6063.0,5498.386432
170,35,55,0,9,0,30,0,258,15,4460.0,6441.0,5702.3883
171,1,83,1,5,0,5,0,247,14,1833.0,9337.0,5839.236018
172,9,13,1,4,3,5,0,640,9,312.0,2102.0,1847.905191
173,3,268,1,5,0,16,0,287,15,1506.0,3896.0,2991.750795
174,6,79,1,2,0,24,0,100,5,1317.0,1907.0,1708.527975
175,15,268,1,7,0,1,0,113,6,1732.0,3234.0,2597.230251
176,39,23,1,0,0,72,0,356,14,4533.0,7840.0,6485.6484
177,40,1,0,6,0,79,1,209,8,1333.0,5013.0,502.60419
178,13,58,0,6,0,29,0,349,12,4071.0,5621.0,5187.81795
179,29,80,1,7,2,27,0,110,7,6211.0,11544.0,8971.225725
180,9,469,1,5,0,60,0,259,17,4355.0,10538.5,5253.26095
181,22,24,1,8,0,77,0,119,6,6381.0,9533.0,7999.9623
182,39,70,0,0,2,98,0,162,16,3225.0,5287.0,4592.708736
183,27,443,1,5,0,56,0,206,15,2761.0,3963.0,3550.1725439999996
184,45,451,0,8,0,32,0,166,9,6068.0,8070.0,7223.2566
185,20,121,1,2,0,98,0,130,8,1193.0,3728.0,2555.138432
